"id","name","price","original_price","rating","filtration_capacity"
832,"AquaDpure Uv+Uf+Copper+Tds Controller Water Filter for Home 12 L RO + UV + UF + Minerals + Copper Wate...","4,949","24,999","4.4","Filtration Capacity: 12 L/hr"
833,"AQUA STORM Black Smart LED indicator With Copper Filter 12 L RO + UV + UF + Copper + TDS Control Water...","3,749","14,500","3.8","Filtration Capacity: 12 L/hr"
834,"Grand plus AQUA SWIFT BL RO UV UF TDS CONTROLLER WITH 14 STAGE 10 L RO + UV + UF + TDS Water Purifier ...","3,999","15,499","4.1","Filtration Capacity: 10 L/hr"
835,"AQUA Fresh Skyland Model With UF Membrane filter 18 L RO + UF + TDS Water Purifier","3,999","14,500","4.3","Filtration Capacity: 18 L/hr"
836,"Noir Aqua Floxy 8 Stage RO Water Purifier with B12 Alkaline Filter for Home & Office 10 L RO + UV + UF...","5,999","12,999","4.2","Filtration Capacity: 15 L/hr"
837,"Aquagrand Blue Audi With Digital LED Display of purity 15 L RO + UV + UF + TDS Water Purifier","3,789","15,999","4","Filtration Capacity: 15 L/hr"
838,"AQUA Epic Model Mineral ALKALINE ro+uv+uf+tds 12 L ALKALINE + 15 L RO + UV + UF + TDS Water Purifier","3,910","14,500","4","Filtration Capacity: 12 L/hr"
839,"KENT PRIDE(11004) 8 L RO + UF Water Purifier","16,500",NULL,"4.2","Filtration Capacity: 15 L/hr"
840,"Keel OPEL COPPER 18 L RO + UV + UF + Copper Guard + pH enhancer Water Purifier with Prefilter","3,899","16,500","4","Filtration Capacity: 18 L/hr"
841,"CUCKOO CP-KN501HW King Top Hot & Cold 2.3 L Nano-Positive Water Purifier","15,799","26,990","3.4","Filtration Capacity: 60 L/hr"
842,"KONVIO Neer Jeeone Purple Premium Water Purifier 13 L RO + UV + UF + TDS Water Purifier","6,999","14,999","4.1","Filtration Capacity: 13 L/hr"
843,"nexus pure PURE LED LIGHT BLACK COPPER + ALKALINE 10 L RO + UV + UF + TDS Water Purifier","5,669","15,499","4","Filtration Capacity: 20 L/hr"
844,"Aqua Fresh ALTIS BLCK COPPER RO UV TDS 12L ELECTRICAL AUTOMATIC WATER PURIFIER 12 L RO + UV + UF + TDS...","4,998","13,999","4.7","Filtration Capacity: 12 L/hr"
845,"Peore Pro Plus - 60  Water Purifier | Self Service Mode 7.5 L NF + UV Water Purifier","14,499","22,999","4.4","Filtration Capacity: 22 L/hr"
846,"SAMTA wall mont OPEN  & Mineral RO Water Purifier","3,895","9,990","4.4","Filtration Capacity: 15 L/hr"
847,"Aquagrand Audi 12 ltr drink pure water 12 L RO + UV + UF + Copper + TDS Control Water Purifier","3,989","17,500","4.1","Filtration Capacity: 12 L/hr"
848,"Aquafresh PURIX COPPER ro+uv+tds+mineral Borwell electrical water purifier 15L 15 L RO + UV + UF + TDS...","4,999","13,999","3.8","one year"
849,"SAMTA RO+UV+UF+TDS+MIneral water purifier 15 L RO + UV + UF + TDS Water Purifier","5,300","14,990","3.8","Filtration Capacity: 15 L/hr"
850,"Aqua Fresh NEW EPIC 12 L RO + UV + UF + TDS Water Purifier","4,299","16,500","3.9","Filtration Capacity: 17 L/hr"
851,"Grand plus NEW EPIC 15 L RO + UV + UF + TDS Water Purifier with Prefilter","3,799","16,500","4.4","Filtration Capacity: 15 L/hr"
852,"Always Rolex Active Copper Water Purifier 12 L RO + UV + CU Guard + Alkaline Enhancer + Mineral Water ...","3,399","15,500","4.6","Filtration Capacity: 15 L/hr"
853,"Aqua Ultra C11D 9 L RO Water Purifier","3,935","13,500","3.9","Filtration Capacity: 15 L/hr"
854,"Keel BLACK DIAMOND 12 L RO + UV + UF + TDS Water Purifier with Prefilter","3,999","16,500",NULL,"Filtration Capacity: 12 L/hr"
855,"Grand plus ro uv uf tds+copper 18 ltr water filter 18 L RO + UV + UF + Copper + TDS Control Water Puri...","3,799","16,500","4.1","Filtration Capacity: 14 L/hr"
856,"AQUA NYC Model RO_UV_UF_TDS_Mineral Cartage Filter 15 L RO + UV + UF + TDS Water Purifier","4,558","14,500","3.8","Filtration Capacity: 12 L/hr"
857,"AO Smith X7 Plus 9 L RO + SCMT Water Purifier with SCMT,ZX Double Protection Dual Filter","19,000","19,500","4.4","1 Year Comprehensive Warranty & 1 Year RO Membrane Warranty if TDS is < 2000 ppm Hardness is < 400 ppm"
858,"Aquafresh PRISM COPPER MINERAL+ro+uv+tds 15 L 15 L RO + UV + UF + TDS Water Purifier","5,199","13,999","3.7","Filtration Capacity: 12 L/hr"
859,"PRISTINE WF26 26 L Gravity Based Water Purifier","2,190","2,200","3.7","Warranty does not cover breakage of ceramic candles."
860,"R.K. AQUA FRESH INDIA Swift Plus 12 Ltrs 14stage 12 L RO + UV + UF Water Purifier","4,589","15,999","4","Filtration Capacity: 10 L/hr"
861,"AquaDpure Copper ro water purifier 12 L RO + UV + UF + Copper Water Purifier","4,844","24,999","4.4","Filtration Capacity: 12 L/hr"
862,"AquaDpure RO Water Purifier with Goodness of Copper Black 12 L RO + UV + UF + TDS + Alkaline Water Pur...","4,946","24,999","4.4","Filtration Capacity: 12 L/hr"
863,"Aqua Ace Copper + Mineral Water Purifier with Copper Charge Technology & copper Best 12 L RO + UV + UF...","4,749","14,499","3.5","Filtration Capacity: 12 L/hr"
864,"Aqua Ace Copper + Mineral Water Purifier with Copper Charge Technology & copper Best 12 L RO + UV + UF...","4,749","14,499","3.5","Filtration Capacity: 12 L/hr"
865,"B.Nova Akruti 1000 L UF Water Purifier","1,499","2,499","3.8","Filtration Capacity: 30 L/hr"
866,"Prisaa PUROSIS 9 L RO + UF + TDS + ALK Water Purifier","7,999","22,499","5","Filtration Capacity: 9 L/hr"
867,"g.s. aquafresh PRIME WHITE COVER RO+UV+UF+TDS CONTROLLER 12 L RO + UV + UF + TDS Water Purifier","3,819","12,999","4","Filtration Capacity: 12 L/hr"
868,"Aquagrand NYC Model 12 L ALKALINE VITAMIN B12 + +ALKALINE B12 12 L RO + UV + UF + TDS Water Purifier","3,871","15,500","4","Filtration Capacity: 12 L/hr"
869,"HAVELLS Max Alkaline 7 L RO + UV + Alkaline Water Purifier 8 Stages, Patented Corner/wall mounting and...","15,990","20,560","4.3","1 Year Warranty"
870,"Aqua Ace Active Copper Ro Water Purifier With Goodness Of Copper With 3000 TDS Membrane 12 L RO + UV +...","4,999","14,999","4","Filtration Capacity: 12 L/hr"
